DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-08-21,2012-09,1,266999,1,16,892227.0,1001399.0,317.0,172.0
2012-08-21,2012-09,1,266999,4,33,904210.3,1013766.0,317.0,172.0
2012-08-22,2012-09,1,51222,6,76,0.0,0.0,344.0,178.0
2012-08-22,2012-09,-1,91114,6,76,0.0,0.0,344.0,178.0
2012-08-22,2012-09,1,65701,2,8,876439.5,999186.7,344.0,178.0
2012-08-22,2012-09,1,182130,5,59,900734.0,1025884.0,344.0,178.0
2012-08-22,2012-09,1,115100,9,31,0.0,0.0,344.0,178.0
2012-08-22,2012-09,1,69602,2,12,885001.3,1015871.0,344.0,178.0
2012-08-22,2012-09,1,266999,4,33,903857.1,1012398.0,344.0,178.0
2012-08-22,2012-09,1,31111,4,35,908354.3,1015292.0,344.0,178.0
2012-08-22,2012-09,1,264100,2,9,878353.8,1008502.0,344.0,178.0
2012-08-23,2012-09,1,266999,4,61,905735.7,1022935.0,367.0,194.0
2012-08-23,2012-09,1,33111,9,38,891374.5,1022502.0,367.0,194.0
2012-08-23,2012-09,1,266999,4,61,906523.9,1021998.0,367.0,194.0
2012-08-23,2012-09,1,121000,7,47,882066.9,1025169.0,367.0,194.0
2012-08-23,2012-09,1,266999,6,68,895761.7,1032844.0,367.0,194.0
2012-08-23,2012-09,1,142320,4,35,906343.9,1016785.0,367.0,194.0
2012-08-23,2012-09,1,64601,3,15,0.0,0.0,367.0,194.0
2012-08-23,2012-09,-1,64711,3,15,0.0,0.0,367.0,194.0
2012-08-23,2012-09,1,266999,1,16,891696.1,997682.1,367.0,194.0
2012-08-23,2012-09,1,266999,6,69,891566.9,1035732.0,367.0,194.0
2012-08-23,2012-09,1,71013,8,55,889162.9,1030969.0,367.0,194.0
2012-08-24,2012-09,1,266999,6,71,894542.1,1038824.0,350.0,239.0
2012-08-24,2012-09,1,182999,1,5,884312.7,1002371.0,350.0,239.0
2012-08-24,2012-09,1,69702,8,58,892085.4,1026240.0,350.0,239.0
2012-08-24,2012-09,1,266999,1,16,893506.1,996649.8,350.0,239.0
2012-08-24,2012-09,-1,265321,2,8,0.0,0.0,350.0,239.0
2012-08-24,2012-09,1,265321,8,56,896133.8,1032337.0,350.0,239.0
